userid	history_list	pos_target	full_candidate
419430	[459806, 576761, 846134, 1074108, 246613, 246499, 246555, 1039288, 864078, 1074188]	4	[75639, 864447, 565993, 633232, 810885, 452663, 945809, 212592, 300778, 43115]
934974	[387060, 778364, 343355, 900786, 459812, 110944, 158317, 188681, 339702, 433880]	1	[411290, 686208, 194579, 210814, 2637, 64014, 376678, 776438, 2224, 1029851]
1191122	[748136, 263755, 809502, 251060, 1075646, 861424, 29704, 825066, 852938, 776438]	9	[666835, 750071, 106529, 690312, 506217, 1057685, 246235, 296225, 216469, 468405]
386591	[664803, 165972, 2529, 810170, 258191, 772055, 1015485, 312771, 102723, 751642]	3	[263755, 633627, 254426, 734043, 564099, 613844, 469814, 863657, 846691, 947622]
564335	[458151, 1092029, 796478, 265667, 846882, 516885, 910917, 846871, 212233, 846411]	3	[578862, 11692, 900432, 541829, 494872, 81013, 130816, 669178, 1001363, 265666]
1116847	[844, 212155, 998098, 580942, 811977, 622964, 600911, 216262, 1011077, 439411]	8	[817727, 790368, 330282, 834072, 1029591, 144635, 400532, 758535, 1053292, 700868]
44355	[253214, 788036, 1051175, 1051951, 187552, 627227, 243160, 253486, 14693, 33776]	0	[545600, 481, 375863, 1103262, 249544, 449358, 860877, 868946, 216215, 1029591]
1184912	[1022919, 61815, 899195, 1102992, 775048, 469817, 297726, 741491, 375863, 638922]	5	[157191, 597749, 511092, 171400, 597749, 818999, 287620, 819545, 516859, 1115606]
1279006	[337118, 37338, 215341, 561710, 809521, 815255, 217760, 217709, 869398, 515214]	3	[492214, 582682, 491911, 875393, 168684, 1051169, 300699, 1064822, 223992, 212033]
698228	[846134, 246613, 1036760, 905629, 634845, 1044821, 1088803, 1094348, 547649, 159979]	1	[614026, 473786, 686804, 763060, 1039978, 169962, 516125, 1006232, 634991, 910646]
1044366	[516119, 515732, 2224, 632017, 172449, 883415, 797649, 94249, 1055351, 403884]	4	[923378, 879949, 1008634, 794690, 1055885, 24457, 561710, 574754, 30641, 692525]
782409	[959833, 268116, 179009, 1044834, 1093367, 834072, 576005, 192686, 808643, 802060]	3	[1113991, 300018, 1058326, 342752, 57871, 217628, 164252, 434309, 391368, 567542]
1229656	[627654, 264067, 282316, 214948, 811921, 411090, 812531, 811923, 338167, 812528]	1	[634146, 396326, 613, 584171, 563282, 327992, 1004194, 878433, 212244, 225225]
43286	[900453, 916630, 283201, 1014189, 863946, 900456, 300640, 753197, 884995, 916686]	5	[293945, 1075907, 1074312, 246599, 809746, 900513, 615722, 327307, 616523, 780606]
26813	[812558, 456348, 638902, 900495, 967616, 343293, 1014434, 1061256, 779749, 13948]	1	[910509, 225029, 517736, 675598, 809666, 843964, 168247, 254825, 1053578, 778356]
685492	[215515, 957464, 1055789, 815857, 277628, 349820, 430390, 411290, 1078749, 74235]	3	[11623, 577644, 338512, 1106755, 779211, 466280, 314425, 8307, 707528, 314069]
1448156	[255602, 959911, 175442, 880231, 812528, 979379, 314425, 149330, 214948, 811927]	7	[357602, 411290, 216701, 300441, 808354, 1032361, 752689, 300767, 394727, 931492]
1051411	[577113, 1055789, 273258, 1106755, 584623, 188362, 349820, 278641, 515235, 215515]	2	[468433, 1078257, 74235, 214583, 681368, 681360, 485531, 99413, 282031, 887338]
161358	[148525, 1105947, 212538, 1011077, 92297, 312176, 758085, 212168, 512261, 812559]	3	[825066, 900453, 144287, 300882, 1091811, 1032361, 564127, 373102, 626528, 519225]
1059855	[563185, 492316, 175818, 1039262, 491903, 265336, 924867, 959551, 582076, 625180]	9	[770181, 595627, 459812, 17547, 491881, 653716, 961987, 451377, 458710, 346699]
673215	[846187, 486876, 246602, 1047069, 265666, 846227, 461895, 780186, 1098943, 932123]	5	[277204, 710320, 790769, 95122, 699314, 639756, 760390, 86252, 251060, 300551]
1082480	[645929, 996746, 900240, 296632, 1057696, 216469, 516498, 516993, 1057685, 311420]	3	[494872, 924635, 1023484, 517736, 212033, 455850, 802056, 615832, 254939, 816453]
1006976	[246602, 212574, 851436, 151184, 573110, 639756, 649877, 276137, 809746, 863666]	9	[561710, 220490, 751657, 178100, 900463, 176412, 825066, 470040, 344790, 511957]
1381004	[686804, 686208, 778364, 1069130, 1100153, 188681, 1107293, 158317, 298760, 200635]	6	[511957, 217810, 338206, 851424, 845064, 650083, 920065, 998017, 1066648, 815806]
1465830	[547360, 614026, 1069131, 701195, 458710, 859712, 479140, 254939, 34984, 542850]	9	[468908, 209212, 1064708, 512239, 15520, 285686, 920025, 164165, 354231, 267978]
