userid	itemid_history	pos_target_index	itemid_candidate
419430	[246499, 246555, 1039288, 864078, 1074188]	2	[75639, 864447, 810885, 212592, 633232]
934974	[110944, 158317, 188681, 339702, 433880]	1	[2637, 686208, 194579, 376678, 210814]
1191122	[861424, 29704, 825066, 852938, 776438]	3	[690312, 296225, 666835, 468405, 246235]
386591	[772055, 1015485, 312771, 102723, 751642]	3	[633627, 613844, 469814, 734043, 947622]
564335	[516885, 910917, 846871, 212233, 846411]	1	[900432, 541829, 578862, 265666, 494872]
1116847	[622964, 600911, 216262, 1011077, 439411]	4	[834072, 330282, 758535, 1029591, 1053292]
44355	[627227, 243160, 253486, 14693, 33776]	3	[481, 216215, 375863, 545600, 449358]
1184912	[469817, 297726, 741491, 375863, 638922]	2	[819545, 287620, 818999, 511092, 597749]
1279006	[815255, 217760, 217709, 869398, 515214]	0	[875393, 212033, 1064822, 491911, 223992]
698228	[1044821, 1088803, 1094348, 547649, 159979]	2	[910646, 1039978, 473786, 634991, 516125]
1044366	[883415, 797649, 94249, 1055351, 403884]	1	[574754, 1055885, 1008634, 561710, 794690]
782409	[834072, 576005, 192686, 808643, 802060]	0	[342752, 217628, 57871, 1113991, 1058326]
1229656	[411090, 812531, 811923, 338167, 812528]	0	[396326, 563282, 878433, 1004194, 584171]
43286	[900456, 300640, 753197, 884995, 916686]	0	[900513, 616523, 1075907, 809746, 246599]
26813	[343293, 1014434, 1061256, 779749, 13948]	4	[254825, 1053578, 809666, 675598, 225029]
685492	[349820, 430390, 411290, 1078749, 74235]	1	[577644, 1106755, 314425, 11623, 338512]
1448156	[979379, 314425, 149330, 214948, 811927]	0	[300767, 808354, 216701, 411290, 357602]
1051411	[188362, 349820, 278641, 515235, 215515]	1	[99413, 74235, 681368, 485531, 214583]
161358	[312176, 758085, 212168, 512261, 812559]	0	[300882, 519225, 144287, 1032361, 900453]
1059855	[265336, 924867, 959551, 582076, 625180]	0	[346699, 458710, 770181, 451377, 961987]
673215	[846227, 461895, 780186, 1098943, 932123]	1	[251060, 639756, 86252, 300551, 790769]
1082480	[216469, 516498, 516993, 1057685, 311420]	0	[517736, 494872, 802056, 816453, 254939]
1006976	[639756, 649877, 276137, 809746, 863666]	2	[470040, 561710, 511957, 178100, 751657]
1381004	[188681, 1107293, 158317, 298760, 200635]	3	[338206, 217810, 851424, 920065, 1066648]
1465830	[859712, 479140, 254939, 34984, 542850]	3	[468908, 920025, 15520, 267978, 285686]
885703	[1076104, 1086922, 1021656, 1061262, 741493]	2	[1115625, 614280, 809358, 553779, 1039288]
105307	[1088803, 811624, 649876, 246487, 209532]	1	[176411, 634845, 924867, 846227, 817727]
743175	[812123, 388754, 900421, 1103605, 1076994]	3	[456348, 448577, 249595, 560379, 300648]
581925	[1050685, 8315, 864447, 39412, 95535]	2	[820898, 329491, 615722, 68387, 627008]
1374303	[79368, 85291, 1036032, 469817, 582368]	1	[282802, 819004, 883290, 23028, 998017]
1280576	[410253, 900797, 302922, 794976, 284579]	2	[931953, 431535, 134765, 778939, 168302]
936118	[31496, 67992, 809501, 605575, 681368]	4	[884995, 375790, 617119, 760390, 331296]
707570	[458831, 583939, 388753, 220735, 550]	3	[1105835, 394969, 171400, 1075531, 95535]
1404658	[187358, 130364, 246499, 14863, 246613]	3	[638902, 629253, 282962, 10312, 164754]
1014506	[520850, 869925, 715, 820983, 103198]	1	[627227, 260151, 613, 11623, 803853]
935992	[1101692, 613844, 443335, 866769, 580159]	4	[1075809, 1092029, 478333, 496109, 157903]
676446	[276033, 15520, 1090965, 187358, 1094348]	0	[10312, 344790, 996746, 910545, 627377]
230682	[1012931, 313525, 764118, 286504, 772961]	1	[300427, 815806, 283111, 1032353, 978961]
345151	[817727, 600528, 583939, 198972, 282716]	3	[243160, 627008, 492214, 460, 1037598]
828183	[193031, 1062685, 887338, 811760, 64014]	3	[188681, 260151, 371026, 887337, 445212]
196019	[613844, 900397, 1059714, 866769, 520735]	1	[543658, 281010, 1074108, 910542, 811923]
45955	[490181, 819004, 899195, 68387, 707528]	0	[164753, 194604, 487957, 30448, 616560]
1361913	[11623, 451071, 14864, 14863, 803853]	3	[919900, 1044821, 103198, 616523, 331176]
153011	[638922, 162603, 741492, 819004, 899195]	3	[820946, 851436, 622964, 375863, 328712]
946398	[681368, 67992, 1038468, 739798, 529397]	0	[409236, 639172, 197452, 212233, 680865]
537908	[272504, 300767, 512686, 233756, 995495]	3	[1062546, 768508, 180046, 328408, 1098488]
59816	[468937, 512530, 845735, 867660, 980804]	1	[14030, 768684, 14030, 1055776, 443335]
762576	[900797, 1115793, 1086922, 519229, 284579]	0	[972209, 455850, 490211, 108205, 1046487]
1009210	[67025, 1032351, 8315, 1081649, 23302]	1	[203040, 788041, 512530, 862393, 195657]
444605	[1074188, 1074108, 451071, 846116, 15520]	4	[600616, 790368, 883415, 875393, 386410]
1043514	[203472, 506865, 502743, 62246, 881717]	4	[883415, 681926, 1032361, 274846, 284510]
927959	[276919, 283201, 220490, 300631, 884995]	0	[916686, 1008012, 820229, 568048, 1058329]
386358	[792654, 246872, 843964, 547190, 564162]	4	[1032353, 297726, 300427, 210438, 771783]
281207	[746535, 816257, 141, 900089, 587274]	1	[900409, 15355, 262598, 11892, 628709]
783868	[900409, 600616, 820229, 388754, 900452]	0	[900432, 811972, 1057545, 249544, 1074188]
438617	[794280, 1101305, 864721, 74110, 900463]	2	[900449, 1053248, 300648, 964825, 324510]
1445460	[807, 850288, 597821, 315191, 300809]	3	[644193, 163289, 23302, 864146, 509782]
296660	[408615, 520081, 476620, 519225, 842288]	4	[144635, 1052077, 1050715, 466156, 639120]
514219	[505111, 67604, 820945, 221093, 567966]	3	[44855, 600525, 843429, 820898, 480092]
1400273	[514116, 246235, 468908, 460224, 1043894]	4	[864089, 376678, 261441, 23518, 1036760]
548403	[510970, 331259, 741469, 681368, 27726]	3	[491886, 639688, 645929, 409236, 214934]
445111	[628113, 808828, 919412, 149294, 409945]	2	[595627, 262637, 2327, 801571, 35090]
74443	[553296, 798626, 286321, 370915, 934248]	2	[302470, 896151, 951925, 614280, 37237]
1252698	[922894, 631466, 922943, 331453, 547886]	1	[631881, 446185, 553327, 300551, 600341]
766206	[799036, 607725, 354231, 313999, 799051]	3	[1046487, 886039, 1061408, 57871, 878433]
1275839	[811972, 512322, 849603, 212129, 928071]	0	[33047, 1039262, 434309, 579377, 628493]
900061	[853453, 86292, 878403, 774080, 1102913]	1	[518440, 553774, 696406, 453107, 400532]
842218	[964825, 614026, 479140, 34984, 254939]	4	[862782, 584169, 277724, 587274, 458710]
445425	[519229, 455336, 741493, 91846, 794976]	4	[1078749, 867660, 519708, 176516, 441774]
937979	[98665, 771770, 10312, 1074188, 180401]	3	[482495, 608464, 911093, 246306, 1171]
